date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_time_trend_3_fourier,yt_pred_mlp_8,yt_pred_mlp_30,yt_pred_stacked_mlp,yt_pred_d1d13_ar13,yt_pred_d1d12_mlp
1946-01-01,1095.0249999999992,1444.198616180507,1197.3892389014331,890,1138.240263583133,,,,,
1946-02-01,1077.3934210526309,1417.7272045877276,1182.2558001361936,992,1250.6692805200862,,,,,
1946-03-01,1214.0776315789465,1545.5715803337537,1321.1474334396976,979,1282.0046880942168,,,,,
1946-04-01,1322.1302631578938,1644.7843762768762,1431.116770390895,959,1425.2150843147772,,,,,
1946-05-01,1385.0249999999992,1698.83927674319,1495.6374952003118,1110,1564.7241622380238,,,,,
1946-06-01,1539.4986842105254,1844.473122881762,1651.44644997321,1546,1531.9319146678731,,,,,
1946-07-01,1929.709210526315,2225.843808421344,2042.701529446432,1539,2199.885663947838,,,,,
1946-08-01,3034.4986842105254,3321.7934352765697,3148.244838883136,3401,2989.3103428884065,,,,,
1946-09-01,2284.709210526315,2563.16412667662,2398.91848354648,2092,2535.8518322346986,,,,,
1946-10-01,1815.6565789473675,2085.271657162996,1930.0382529101475,1436,1845.1812415880104,,,,,
1946-11-01,1636.130263157894,1896.9055003584456,1750.3936206583508,1301,1778.8667492289214,,,,,
1946-12-01,1397.6039473684202,1649.5393429107253,1511.4582710016136,1287,1539.9901752271903,,,,,
1947-01-01,1220.817543859648,1464.4041988594968,1362.532522178096,1488,1302.4547672028712,,,,,
1947-02-01,1203.1859649122798,1438.9149915567698,1344.924980777525,1517,1412.430127355236,1260.8287581197696,1161.9087471712585,1288.0762595316676,,
1947-03-01,1339.8701754385957,1567.7415715928482,1481.3748133795798,1707,1441.3439891327448,1360.020366506708,1224.595629831644,1172.2996518486043,,
1947-04-01,1447.922807017543,1667.9365718260235,1588.9346515632103,1729,1582.16495054465,1434.9276830258302,1163.759982358293,1202.4958701175594,,
1947-05-01,1510.817543859648,1722.9736765823898,1651.0781795389423,1788,1719.316704647208,1488.1159796137486,1617.401737005484,1127.4348991958093,,
1947-06-01,1665.2912280701746,1869.5897270110145,1804.5422394120385,2008,1684.1992442443357,1665.9033804755445,1795.6152562820116,1746.0124267289505,,
1947-07-01,2055.501754385964,2251.9426168406494,2193.48472591934,2203,2349.859891679545,1959.1560238786856,2195.3682622280417,1932.928408866744,,
1947-08-01,3160.291228070175,3348.874447985927,3296.747744324005,3713,3137.023579763325,2746.7774581373733,2564.826643724736,2804.386941049438,,
1947-09-01,2410.501754385964,2591.22734367603,2545.1733998891923,2946,2681.336189240795,2630.703128844552,2533.351261774389,2593.17898483873,,
1947-10-01,1941.4491228070167,2114.317078452459,2074.077482088586,2082,1988.468829713252,2093.597527732729,2028.9632602537683,2120.0627287991065,,
1947-11-01,1761.922807017543,1926.933125937961,1892.249464606397,2033,1919.9896794612744,1741.7666614193508,1753.9262233347822,1644.5161614437147,,
1947-12-01,1523.3964912280694,1680.5491727802937,1651.16303165315,1937,1678.9805585546212,1677.8859347553462,1738.4145712871962,1292.796390234823,,
1948-01-01,1346.610087719297,1496.3962330191175,1500.118501467004,1711,1439.344714613347,1753.5357886832237,1654.5969122026756,1435.9347528640556,,
1948-02-01,1328.978508771929,1471.889230006443,1480.4244806376878,1775,1547.251749836723,1739.437567935572,1624.823851800075,1697.15901339811,,
1948-03-01,1465.6627192982446,1601.698014332574,1614.8201357448788,1902,1574.12939767321,1888.1827194795087,1773.307155604725,1776.291117861409,1972.255844928933,2028.7039407827642
1948-04-01,1573.715350877192,1702.875218855802,1720.358098367528,1846,1712.9462561320595,1983.316236258442,1700.5517939787717,1693.1649894795612,1965.2077776186552,2029.314732303791
1948-05-01,1636.610087719297,1758.894527902221,1780.5120527161607,2083,1848.126018269529,1983.9057651298167,1967.3471905290128,1695.7562588303635,2015.5355067383664,1953.3964432646271
1948-06-01,1791.0837719298238,1906.4927826208984,1932.018840896039,2262,1811.068676889535,2158.2066304630985,2256.989223576886,2132.622024810732,2424.4744858631075,2424.860525338825
1948-07-01,2181.2942982456134,2289.827876740585,2319.0363576440045,2193,2474.821554335589,2554.716004430552,2615.404691086446,2422.158540512992,2359.073541826468,2487.2813180438006
1948-08-01,3286.083771929824,3387.741912175916,3420.406708223217,3792,3260.1095834181806,3127.638201003202,2906.2397163886494,3058.8298372725303,3968.0454167379567,3810.989459346325
1948-09-01,2536.2942982456134,2631.077012156072,2666.9719978968333,2343,2802.578644882429,3252.58707489919,3081.437455423415,3108.4613846646225,2808.073884261493,3064.595439478753
1948-10-01,2067.241666666666,2155.148951222553,2194.048016138538,2313,2107.89984832963,2329.598192114197,2196.937991488533,2324.340233274808,1778.0672838479368,1556.345415580673
1948-11-01,1887.715350877192,1968.747202998108,2010.4242366325427,2179,2037.6413720403643,2212.224623916176,2242.1434329826725,2105.216850711588,2014.340903926257,2354.4007977696783
1948-12-01,1649.1890350877184,1723.3454541304927,1767.574343589371,1975,1794.8850360843894,2040.1687921261075,2037.858109753428,1748.5394227288243,2064.639740338307,2191.145401048043
1949-01-01,1472.4026315789465,1540.174718659369,1614.7986552471823,1880,1553.5340880817596,1933.9856433428847,1805.5038211538829,1700.1070700894186,1946.737616686484,1812.469215644036
1949-02-01,1454.7710526315782,1516.6499199367477,1593.4057781957056,1930,1659.7581302317471,1924.142354971164,1861.8689784844569,1891.9167268764031,1920.0382763384189,2024.0490309538782
